連續劇名稱,總時長 (格式化),總秒數,累計小時數
聽見幸福的聲音 Hearing the Sound of Happiness,04:00:00,14400.67,4.00
若是一個人(預告),00:35:54,2154.94,0.60
菅芒花的春天﹛全60集﹜,28:03:01,100981.32,28.05
葡萄藤下的春天,12:00:02,43202.01,12.00
台九線上的愛 Will Being Love,36:00:06,129606.03,36.00
天之蕉子每個人都是天之驕子｜精華,03:04:01,11041.05,3.07
幸福好簡單 Simple Happiness,32:00:05,115205.36,32.00
新．蘇足,32:00:08,115208.16,32.00
珍珠人生  Life of Pearl,22:49:28,82168.75,22.82
請你原諒,17:01:59,61319.77,17.03
台視劇場－人間抒情系列,06:48:25,24505.72,6.81
含笑食堂  Flavor of Life,29:23:07,105787.27,29.39
呼叫223,09:36:01,34561.61,9.60
唱快人生,08:00:01,28801.34,8.00
嘉慶君遊臺灣,47:14:31,170071.53,47.24
回家的路 The Road Back Home,32:00:05,115205.36,32.00
在室阿嬤,17:44:59,63899.81,17.75
大大與太太 For Better or For Worse,32:00:04,115204.44,32.00
大腳阿媽,43:30:42,156642.85,43.51
大輪迴,52:30:39,189039.73,52.51
